date,rank,ticker6,name,market_cap,predicted_gap,predicted_gap_net,vol_ratio,primary_driver,drivers_str
2026-06-25,1,009420,한올바이오파마,3061301386800,0.01491,0.00991,3.364,XBI,XBI:β+0.82@+1.49%
2026-06-25,2,009155,삼성전기우,2343029104000,0.01244,0.00744,2.217,EWY,EWY:β+0.47@+1.24%
2026-06-25,1,009420,한올바이오파마,3061301386800,0.01491,0.00991,3.364,XBI,XBI:β+0.82@+1.49%
2026-06-25,2,009155,삼성전기우,2343029104000,0.01244,0.00744,2.217,EWY,EWY:β+0.47@+1.24%
2026-06-26,1,034730,SK,62207319174000,0.06074,0.05574,3.463,MU,SMH:β+0.64@+1.87%; MU:β+0.27@+4.20%
2026-06-26,2,320000,한울반도체,112302760400,0.02564,0.02064,7.063,SMH,SMH:β+0.48@+1.38%; EWY:β+0.30@+1.18%
2026-06-26,3,419530,SAMG엔터,214354077000,0.02888,0.02388,2.906,XLI,SMH:β+0.39@+1.14%; XLI:β+0.81@+1.75%
2026-06-26,1,034730,SK,62207319174000,0.06074,0.05574,3.463,MU,SMH:β+0.64@+1.87%; MU:β+0.27@+4.20%
2026-06-26,2,320000,한울반도체,112302760400,0.02564,0.02064,7.063,SMH,SMH:β+0.48@+1.38%; EWY:β+0.30@+1.18%
2026-06-26,3,419530,SAMG엔터,214354077000,0.02888,0.02388,2.906,XLI,SMH:β+0.39@+1.14%; XLI:β+0.81@+1.75%
2026-06-29,1,025620,차AI헬스케어,103762646100,0.02897,0.02397,8.413,XLV,XLV:β+0.76@+2.30%; SMCI:β+0.13@-0.42%; XBI:β+0.41@+1.02%
2026-06-29,2,046070,코다코,159196994920,0.08677,0.08177,,EWY,EWY:β-2.30@+8.68%
2026-06-29,3,397030,에이프릴바이오,900261609700,0.01377,0.00877,1.851,XBI,XBI:β+0.55@+1.38%
2026-06-29,1,025620,차AI헬스케어,103762646100,0.02897,0.02397,8.413,XLV,XLV:β+0.76@+2.30%; SMCI:β+0.13@-0.42%; XBI:β+0.41@+1.02%
2026-06-29,2,046070,코다코,159196994920,0.08677,0.08177,,EWY,EWY:β-2.30@+8.68%
2026-06-29,3,397030,에이프릴바이오,900261609700,0.01377,0.00877,1.851,XBI,XBI:β+0.55@+1.38%
2026-06-30,1,0120G0,삼양바이오팜,379972957000,0.1302,0.1252,1.524,TSLA,XLY:β+1.57@+3.77%; GOOGL:β+0.93@+4.47%; TSLA:β+0.57@+4.79%
2026-06-30,2,416180,신성에스티,198875116000,0.05801,0.05301,3.347,XLY,XLK:β+0.79@+1.88%; XLY:β+0.95@+2.27%; SMH:β+0.50@+1.65%
