ticker6,name,market_cap,sma5,sma20,sma60,high20,prev_close,rsi14,vol_median20,macd_state,chg5d_pct
047050,포스코인터내셔널,9499830552000.0,50710.0,51245.0,58090.0,56600.0,51300.0,46.88,463670.0,bullish,-2.66
006260,LS,9375600000000.0,255000.0,293375.0,391833.33,353000.0,273000.0,42.75,145737.0,golden_cross,-10.49
028050,삼성E&A,9359000000000.0,42620.0,43347.5,48030.83,48300.0,44400.0,49.84,1954808.0,bullish,-6.82
003230,삼양식품,9182745285000.0,1193000.0,1138650.0,1182800.0,1243000.0,1151000.0,49.92,51962.0,bullish,-5.66
277810,레인보우로보틱스,9059733686000.0,415100.0,430400.0,583491.67,508000.0,458500.0,49.42,117638.0,bullish,2.8
078930,GS,9001573465500.0,86340.0,83890.0,76596.67,95300.0,84600.0,53.28,457492.0,bearish,-7.64
016360,삼성증권,8804980000000.0,93600.0,103885.0,114540.0,121300.0,97000.0,43.98,483778.0,bearish,-4.34
161390,한국타이어앤테크놀로지,8386342171300.0,66420.0,70280.0,66791.67,76700.0,66800.0,46.82,414254.0,bearish,-4.3
443060,HD현대마린솔루션,8289706754000.0,184160.0,195870.0,218850.0,215000.0,182900.0,39.64,138553.0,bearish,-11.21
180640,한진칼,8038178391600.0,111900.0,116035.0,116561.67,136100.0,119000.0,53.93,124642.0,golden_cross,7.5
352820,하이브,7802337316000.0,173040.0,203160.0,213941.67,232000.0,174300.0,39.08,256015.0,bearish,-22.53
090430,아모레퍼시픽,7715194912100.0,126900.0,122365.0,116441.67,134000.0,129800.0,59.36,306860.0,bullish,5.1
039490,키움증권,7448841744000.0,270900.0,307800.0,350158.33,356500.0,274000.0,40.68,114645.0,bearish,-8.67
005387,현대차2우B,6926354533000.0,188080.0,197925.0,232177.7,223500.0,198100.0,46.52,167222.0,bullish,1.07
021240,코웨이,6673368271800.0,91340.0,92295.0,91405.58,96800.0,92200.0,51.23,167952.0,bearish,-0.11
064400,LG씨엔에스,6597933058800.0,60860.0,66075.0,81241.67,74000.0,62500.0,41.3,970383.0,bullish,-6.72
032640,LG유플러스,6336706038760.0,14802.0,14677.5,15046.83,15360.0,14840.0,51.32,1036578.0,bullish,0.88
326030,SK바이오팜,6249397350000.0,78020.0,79430.0,87245.0,84900.0,78400.0,44.93,113272.0,bullish,-4.27
047040,대우건설,6245796097600.0,12546.0,15080.5,21280.33,18080.0,13300.0,38.72,4207865.0,bearish,-12.38
267270,HD건설기계,6090873108700.0,121340.0,126040.0,140970.0,140300.0,126500.0,48.85,265131.0,bullish,-6.02
241560,두산밥캣,6010175275500.0,59320.0,62155.0,64911.19,69300.0,60400.0,46.46,188237.0,bearish,-5.92
000100,유한양행,5957640554800.0,72420.0,70470.0,76211.67,74900.0,73600.0,53.38,261834.0,bullish,2.22
377300,카카오페이,5924831475000.0,41350.0,40562.5,44432.5,44750.0,42950.0,53.23,200202.0,bullish,-4.02
000880,한화,5908563612200.0,84400.0,91325.0,112921.67,110500.0,83800.0,35.4,154556.0,bullish,-10.66
007660,이수페타시스,5843373832400.0,68720.0,87435.0,111788.33,103800.0,74500.0,39.7,914355.0,bearish,-13.17
